accession	message	sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	air_temp_regm	altitude	ances_data	antibiotic_regm	biol_stat	biotic_regm	chem_administration	chem_mutagen	climate_environment	collection_method	cult_root_med	depth	elev	fertilizer_regm	fungicide_regm	gaseous_environment	genetic_mod	gravity	growth_facil	growth_habit	growth_hormone_regm	herbicide_regm	host_age	host_common_name	host_disease	host_dry_mass	host_genotype	host_height	host_length	host_life_stage	host_phenotype	host_subspecf_genlin	host_symbiont	host_taxid	host_tot_mass	host_wet_mass	humidity_regm	isolation_source	light_regm	mechanical_damage	mineral_nutr_regm	misc_param	neg_cont_type	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_growth_med	plant_product	plant_sex	plant_struc	pos_cont_type	radiation_regm	rainfall_regm	rel_to_oxygen	root_cond	root_med_carbon	root_med_macronutr	root_med_micronutr	root_med_ph	root_med_regl	root_med_solid	root_med_suppl	salt_regm	samp_capt_status	samp_collect_device	samp_dis_stage	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	season_environment	size_frac	source_material_id	standing_water_regm	temp	tiss_cult_growth_med	water_temp_regm	watering_regm	description	unique_id	drought	inoculum	fire_freq	species	filename_r1	filename_r2	wilting_scale	bud_number	leaf_number	leaf_length	height	nodule_num	shoot_dm	final_root_dm	seqtab_rows	inoculum_site	inoculum_burn_freq	mean_no3	mean_nh4	mean_p	mean_k	mean_so4_s	mean_b	mean_om	mean_ph	mean_ec	mean_zn	mean_mn	mean_cu	mean_fe	mean_ca	mean_mg	mean_na	mean_tkn	mean_c_n_ratio	mean_sand	mean_silt	mean_clay	other_frompreviouscolumn
SAMN39447239	Successfully loaded	R-150_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q150	ND	3Burn_W6	3	Snowbrush	R-150_S41_L001_R1_001.fastq.gz	R-150_S41_L001_R2_001.fastq.gz	1	0	16	1.5	4.5	17	0.2161	0.2944	R-150	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447240	Successfully loaded	R-151_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q151	ND	3Burn_W6	3	GrandFir	R-151_S139_L001_R1_001.fastq.gz	R-151_S139_L001_R2_001.fastq.gz	1	4	60	1.2	5.7	NA	0.1898	0.2291	R-151	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447241	Successfully loaded	R-152_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q152	D	Sterile	NA	GrandFir	R-152_S151_L001_R1_001.fastq.gz	R-152_S151_L001_R2_001.fastq.gz	1	4	31	2.2	5.5	NA	0.1317	0.1839	R-152	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447242	Successfully loaded	R-153_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q153	ND	0Burn_W1	0	Snowbrush	R-153_S53_L001_R1_001.fastq.gz	R-153_S53_L001_R2_001.fastq.gz	1	0	17	3.1	5	2	0.4904	1.4133	R-153	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447243	Successfully loaded	R-154_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q154	D	1Burn_W3	1	GrandFir	R-154_S163_L001_R1_001.fastq.gz	R-154_S163_L001_R2_001.fastq.gz	2	2	14	0.7	4.7	NA	0.0529	0.1469	R-154	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447244	Successfully loaded	R-155_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q155	D	3Burn_W6	3	Snowbrush	R-155_S65_L001_R1_001.fastq.gz	R-155_S65_L001_R2_001.fastq.gz	5	0	17	3.4	5.2	9	0.4765	0.5283	R-155	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447245	Successfully loaded	R-156_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q156	ND	0Burn_W2	0	GrandFir	R-156_S175_L001_R1_001.fastq.gz	R-156_S175_L001_R2_001.fastq.gz	1	4	29	1.8	5.9	NA	0.1	0.2247	R-156	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447246	Successfully loaded	R-157_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q157	ND	0Burn_W2	0	Snowbrush	R-157_S77_L001_R1_001.fastq.gz	R-157_S77_L001_R2_001.fastq.gz	1	0	34	2.6	6	6	0.8851	1.2181	R-157	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447247	Successfully loaded	R-158_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q158	D	1Burn_W3	1	Snowbrush	R-158_S89_L001_R1_001.fastq.gz	R-158_S89_L001_R2_001.fastq.gz	1	0	4	1.1	3.9	0	0.0511	NA	R-158	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447248	Successfully loaded	R-159_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q159	ND	0Burn_W1	0	GrandFir	R-159_S187_L001_R1_001.fastq.gz	R-159_S187_L001_R2_001.fastq.gz	1	4	23	1.7	5.8	NA	0.1112	0.3041	R-159	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447249	Successfully loaded	R-160_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q160	D	3Burn_W5	3	GrandFir	R-160_S104_L001_R1_001.fastq.gz	R-160_S104_L001_R2_001.fastq.gz	2	10	38	2.2	7.2	NA	0.2694	0.2617	R-160	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447250	Successfully loaded	R-161_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q161	ND	1Burn_W3	1	GrandFir	R-161_S116_L001_R1_001.fastq.gz	R-161_S116_L001_R2_001.fastq.gz	1	2	14	1.4	4.5	NA	0.0455	0.1054	R-161	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447251	Successfully loaded	R-162_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q162	ND	3Burn_W5	3	Snowbrush	R-162_S6_L001_R1_001.fastq.gz	R-162_S6_L001_R2_001.fastq.gz	1	0	27	3.2	9.4	35	1.1376	0.8776	R-162	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447252	Successfully loaded	R-163_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q163	D	0Burn_W1	0	Snowbrush	R-163_S18_L001_R1_001.fastq.gz	R-163_S18_L001_R2_001.fastq.gz	6	0	11	2.2	5.4	0	0.1939	0.3131	R-163	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447253	Successfully loaded	R-164_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q164	ND	Sterile	NA	Snowbrush	R-164_S30_L001_R1_001.fastq.gz	R-164_S30_L001_R2_001.fastq.gz	1	0	9	1.6	3.9	0	0.1752	0.2053	R-164	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447254	Successfully loaded	R-165_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q165	D	1Burn_W4	1	Snowbrush	R-165_S42_L001_R1_001.fastq.gz	R-165_S42_L001_R2_001.fastq.gz	6	0	21	2.1	3.6	1	0.3673	0.7657	R-165	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447255	Successfully loaded	R-166_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q166	D	0Burn_W2	0	GrandFir	R-166_S128_L001_R1_001.fastq.gz	R-166_S128_L001_R2_001.fastq.gz	1	7	31	1.7	4.7	NA	0.206	0.4899	R-166	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447256	Successfully loaded	R-167_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q167	ND	1Burn_W3	1	Snowbrush	R-167_S54_L001_R1_001.fastq.gz	R-167_S54_L001_R2_001.fastq.gz	1	0	9	2.5	3.1	0	0.1447	0.1777	R-167	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447257	Successfully loaded	R-168_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q168	D	1Burn_W4	1	GrandFir	R-168_S140_L001_R1_001.fastq.gz	R-168_S140_L001_R2_001.fastq.gz	2	4	58	2	6.5	NA	0.3275	0.6929	R-168	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447258	Successfully loaded	R-197_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q197	D	Sterile	NA	Snowbrush	R-197_S66_L001_R1_001.fastq.gz	R-197_S66_L001_R2_001.fastq.gz	6	0	5	0.8	2.8	0	0.2063	NA	R-197	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447259	Successfully loaded	R-198_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q198	ND	0Burn_W1	0	GrandFir	R-198_S152_L001_R1_001.fastq.gz	R-198_S152_L001_R2_001.fastq.gz	1	3	17	1	4.6	NA	0.2196	NA	R-198	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447260	Successfully loaded	R-199_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q199	D	0Burn_W1	0	GrandFir	R-199_S164_L001_R1_001.fastq.gz	R-199_S164_L001_R2_001.fastq.gz	1	4	57	1.6	5.6	NA	0.3255	0.5877	R-199	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447261	Successfully loaded	R-200_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q200	ND	0Burn_W2	0	GrandFir	R-200_S176_L001_R1_001.fastq.gz	R-200_S176_L001_R2_001.fastq.gz	1	5	36	2.4	6.6	NA	0.4149	0.6459	R-200	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447262	Successfully loaded	R-201_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q201	ND	0Burn_W1	0	Snowbrush	R-201_S78_L001_R1_001.fastq.gz	R-201_S78_L001_R2_001.fastq.gz	1	0	20	2.3	5.4	0	0.5148	0.8102	R-201	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447263	Successfully loaded	R-202_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q202	D	1Burn_W3	1	GrandFir	R-202_S188_L001_R1_001.fastq.gz	R-202_S188_L001_R2_001.fastq.gz	1	3	16	1.1	5	NA	0.2252	NA	R-202	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447264	Successfully loaded	R-203_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q203	D	1Burn_W3	1	Snowbrush	R-203_S90_L001_R1_001.fastq.gz	R-203_S90_L001_R2_001.fastq.gz	2	0	17	3	4.6	0	0.4234	0.8392	R-203	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447265	Successfully loaded	R-204_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q204	D	0Burn_W2	0	Snowbrush	R-204_S7_L001_R1_001.fastq.gz	R-204_S7_L001_R2_001.fastq.gz	6	0	17	2.5	4.1	1	0.6175	1.1043	R-204	2	0	1.33333333333333	8.1	7.66666666666667	92.3333333333333	6	0.043333333333333	6.40666666666667	6.16666666666667	0.086666666666667	0.266666666666667	16	0.433333333333333	29	1.83333333333333	0.333333333333333	0.036666666666667	0.166333333333333	26.2156666666667	80.8	18.8	0.4	NA
SAMN39447266	Successfully loaded	R-205_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q205	ND	3Burn_W6	3	GrandFir	R-205_S105_L001_R1_001.fastq.gz	R-205_S105_L001_R2_001.fastq.gz	1	4	29	1.5	5.5	NA	0.2876	0.4922	R-205	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447267	Successfully loaded	R-206_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q206	ND	Sterile	NA	Snowbrush	R-206_S19_L001_R1_001.fastq.gz	R-206_S19_L001_R2_001.fastq.gz	1	0	16	3.9	5.8	0	0.7199	1.0211	R-206	Sterile	NA	2.45	19.1	6.16666666666667	52.8333333333333	8.5	0.04	4.825	5.73333333333333	0.11	0.25	63.2833333333333	0.533333333333333	14.8333333333333	1.55	0.3	0.07	0.110333333333333	25.6353333333333	88.8	10.8	0.4	NA
SAMN39447268	Successfully loaded	R-207_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q207	D	3Burn_W6	3	Snowbrush	R-207_S31_L001_R1_001.fastq.gz	R-207_S31_L001_R2_001.fastq.gz	1	0	12	1.6	4.4	11	0.331	0.678	R-207	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447269	Successfully loaded	R-208_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q208	ND	3Burn_W5	3	Snowbrush	R-208_S43_L001_R1_001.fastq.gz	R-208_S43_L001_R2_001.fastq.gz	1	0	16	2.5	4.4	0	0.6729	1.4045	R-208	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447270	Successfully loaded	R-209_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q209	ND	1Burn_W4	1	Snowbrush	R-209_S55_L001_R1_001.fastq.gz	R-209_S55_L001_R2_001.fastq.gz	1	0	19	2.4	4	0	0.5629	0.9969	R-209	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
SAMN39447271	Successfully loaded	R-210_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q210	D	0Burn_W1	0	Snowbrush	R-210_S67_L001_R1_001.fastq.gz	R-210_S67_L001_R2_001.fastq.gz	6	0	11	2	5	1	0.4122	0.4951	R-210	1	0	1.36666666666667	10.0666666666667	10	108	12	0.036666666666667	7.89333333333333	5.96666666666667	0.096666666666667	0.733333333333333	26.3	0.533333333333333	58	1.66666666666667	0.4	0.043333333333333	0.179	26.3323333333333	80.8	18.8	0.4	NA
SAMN39447272	Successfully loaded	R-211_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q211	ND	1Burn_W3	1	Snowbrush	R-211_S79_L001_R1_001.fastq.gz	R-211_S79_L001_R2_001.fastq.gz	1	0	17	3	5	0	0.2938	0.5697	R-211	3	1	1.7	4.96666666666667	7.33333333333333	61.6666666666667	11.3333333333333	0.07	5.18333333333333	6.36666666666667	0.416666666666667	0.1	10.1	0.666666666666667	15.3333333333333	2.03333333333333	0.3	0.04	0.099	27.1886666666667	82.8	16.8	0.4	NA
SAMN39447273	Successfully loaded	R-212_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q212	D	3Burn_W6	3	GrandFir	R-212_S117_L001_R1_001.fastq.gz	R-212_S117_L001_R2_001.fastq.gz	1	6	52	2.1	5.9	NA	0.1664	0.2558	R-212	6	3	8.53333333333333	6.2	7.66666666666667	59.3333333333333	4.66666666666667	0.103333333333333	5.67	5.73333333333333	0.053333333333333	0.733333333333333	10.2333333333333	0.766666666666667	23	2.86666666666667	0.4	0.046666666666667	0.156666666666667	21.452	90.8	8.8	0.4	NA
SAMN39447274	Successfully loaded	R-213_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Abies grandis	NA																																																																																							Q213	ND	3Burn_W5	3	GrandFir	R-213_S129_L001_R1_001.fastq.gz	R-213_S129_L001_R2_001.fastq.gz	1	3	23	1.5	4	NA	0.0811	0.1889	R-213	5	3	14.5333333333333	7.16666666666667	7	82	4.33333333333333	0.153333333333333	7.07333333333333	6.3	0.113333333333333	0.866666666666667	15.5666666666667	0.833333333333333	23	4.96666666666667	0.566666666666667	0.05	0.239333333333333	17.4663333333333	86.8	10.8	2.4	NA
SAMN39447275	Successfully loaded	R-214_16S			root metagenome	2023	Greenhouse [ENVO_03600087]	rhizosphere environment [ENVO_01000999]	greenhouse soil [ENVO_00005780]	USA: Pullman, Washington	Ceanothus velutinus	NA																																																																																							Q214	D	1Burn_W4	1	Snowbrush	R-214_S91_L001_R1_001.fastq.gz	R-214_S91_L001_R2_001.fastq.gz	6	0	19	2.2	4.9	0	0.3838	0.7453	R-214	4	1	4.16666666666667	10.4333333333333	8.33333333333333	72.3333333333333	9.66666666666667	0.05	5.97666666666667	6	0.033333333333333	0.333333333333333	12.2	0.733333333333333	20.6666666666667	1.5	0.333333333333333	0.056666666666667	0.103	17.1983333333333	88.8	10.8	0.4	NA
